enrollee_id,prediction_probability,predicted_class,percentile_rank,priority_tier
23344,0.671,1,95.82,High Priority
31756,0.6674,1,95.77,High Priority
24317,0.6608,1,95.73,High Priority
25054,0.6546,1,95.68,High Priority
18384,0.6535,1,95.63,High Priority
18816,0.6533,1,95.58,High Priority
29830,0.6532,1,95.54,High Priority
15973,0.6498,1,95.49,High Priority
16560,0.6498,1,95.44,High Priority
21335,0.6482,1,95.4,High Priority
30245,0.6466,1,95.35,High Priority
22468,0.6465,1,95.3,High Priority
20841,0.6433,1,95.26,High Priority
22808,0.6428,1,95.21,High Priority
13477,0.6427,1,95.16,High Priority
18426,0.6411,1,95.12,High Priority
32075,0.634,1,95.07,High Priority
15663,0.6337,1,95.02,High Priority
18492,0.6322,1,94.97,High Priority
25308,0.6311,1,94.93,High Priority
12709,0.6252,1,94.88,High Priority
22450,0.625,1,94.83,High Priority
23894,0.6233,1,94.79,High Priority
10810,0.6225,1,94.74,High Priority
4804,0.6221,1,94.69,High Priority
28007,0.6218,1,94.65,High Priority
16458,0.6148,1,94.6,High Priority
12064,0.6119,1,94.55,High Priority
7315,0.6115,1,94.5,High Priority
24238,0.6113,1,94.46,High Priority
16084,0.6062,1,94.41,High Priority
14832,0.6032,1,94.36,High Priority
31672,0.6026,1,94.32,High Priority
21604,0.6,1,94.27,High Priority
31133,0.5964,0,94.22,High Priority
25097,0.5947,1,94.18,High Priority
7987,0.5937,1,94.13,High Priority
21049,0.5916,0,94.08,High Priority
12096,0.5913,0,94.03,High Priority
10587,0.5903,1,93.99,High Priority
8485,0.5898,1,93.94,High Priority
26621,0.5897,0,93.89,High Priority
2358,0.5893,1,93.85,High Priority
17919,0.5888,0,93.8,High Priority
32898,0.5884,1,93.75,High Priority
30745,0.5881,1,93.71,High Priority
7132,0.588,0,93.66,High Priority
5280,0.5878,1,93.61,High Priority
21339,0.5871,1,93.57,High Priority
27764,0.587,1,93.52,High Priority
27008,0.5861,1,93.47,High Priority
1172,0.5844,1,93.42,High Priority
24378,0.5832,1,93.38,High Priority
29033,0.5831,1,93.33,High Priority
16251,0.5817,1,93.28,High Priority
12163,0.5808,0,93.24,High Priority
28695,0.5794,1,93.19,High Priority
23465,0.5794,1,93.14,High Priority
18340,0.5792,1,93.1,High Priority
13949,0.5791,1,93.05,High Priority
8392,0.5787,1,93.0,High Priority
21052,0.5785,1,92.95,High Priority
9753,0.5777,1,92.91,High Priority
2529,0.5763,0,92.86,High Priority
4674,0.5762,1,92.81,High Priority
18517,0.5752,0,92.77,High Priority
14516,0.5733,1,92.72,High Priority
13726,0.5709,1,92.67,High Priority
5243,0.5698,0,92.63,High Priority
16462,0.5689,1,92.58,High Priority
3413,0.5687,0,92.53,High Priority
12361,0.5686,0,92.48,High Priority
24234,0.567,1,92.44,High Priority
31708,0.5663,1,92.39,High Priority
23883,0.5651,1,92.34,High Priority
20723,0.5636,1,92.3,High Priority
24202,0.5629,1,92.25,High Priority
11886,0.5628,1,92.2,High Priority
31669,0.5625,1,92.16,High Priority
25999,0.5623,1,92.11,High Priority
3407,0.5617,0,92.06,High Priority
27216,0.5609,0,92.02,High Priority
17336,0.5607,1,91.97,High Priority
6831,0.5586,1,91.92,High Priority
7439,0.5577,0,91.87,High Priority
26888,0.5576,0,91.83,High Priority
18378,0.5573,0,91.78,High Priority
14369,0.5567,0,91.73,High Priority
31802,0.5565,1,91.69,High Priority
6742,0.5559,0,91.64,High Priority
25833,0.5559,0,91.59,High Priority
11927,0.5552,0,91.55,High Priority
15384,0.5549,1,91.5,High Priority
9302,0.5528,0,91.45,High Priority
1985,0.5522,1,91.4,High Priority
2122,0.5513,0,91.36,High Priority
14500,0.5509,0,91.31,High Priority
11945,0.5508,1,91.26,High Priority
2606,0.5499,1,91.22,High Priority
10618,0.5494,0,91.17,High Priority
28764,0.5484,1,91.12,High Priority
20380,0.5465,1,91.08,High Priority
11654,0.545,1,91.03,High Priority
366,0.5449,1,90.98,High Priority
28252,0.5449,0,90.93,High Priority
26769,0.5436,0,90.89,High Priority
31466,0.54,1,90.84,High Priority
5258,0.5399,0,90.79,High Priority
16286,0.5397,1,90.75,High Priority
24941,0.5396,0,90.7,High Priority
18369,0.5344,0,90.65,High Priority
29031,0.5337,1,90.61,High Priority
25882,0.5327,1,90.56,High Priority
1227,0.5312,1,90.51,High Priority
6720,0.531,0,90.47,High Priority
18316,0.5297,0,90.42,High Priority
1663,0.5289,0,90.37,High Priority
6837,0.5286,1,90.32,High Priority
15305,0.5284,1,90.28,High Priority
17900,0.5281,1,90.23,High Priority
11796,0.5281,1,90.18,High Priority
14456,0.5276,1,90.14,High Priority
12695,0.5274,1,90.09,High Priority
18565,0.5272,1,90.04,High Priority
13274,0.5271,1,90.0,Qualified
3408,0.5267,1,89.95,Qualified
9205,0.5265,0,89.9,Qualified
26325,0.5265,1,89.85,Qualified
22480,0.5263,1,89.81,Qualified
14574,0.5261,1,89.76,Qualified
22625,0.5255,0,89.71,Qualified
18665,0.5243,1,89.67,Qualified
29833,0.5241,1,89.62,Qualified
24293,0.5237,1,89.57,Qualified
7258,0.5232,1,89.53,Qualified
32278,0.5232,1,89.48,Qualified
27143,0.5189,1,89.43,Qualified
16317,0.5185,1,89.38,Qualified
24908,0.5178,0,89.34,Qualified
13782,0.5174,1,89.29,Qualified
12312,0.5173,0,89.24,Qualified
15640,0.5163,1,89.2,Qualified
19725,0.5157,0,89.15,Qualified
21353,0.5151,0,89.1,Qualified
27298,0.5143,1,89.06,Qualified
24507,0.5142,0,89.01,Qualified
1622,0.514,1,88.96,Qualified
5368,0.5138,1,88.91,Qualified
5050,0.5137,1,88.87,Qualified
3374,0.5124,1,88.82,Qualified
2510,0.5123,1,88.77,Qualified
24018,0.512,1,88.73,Qualified
8413,0.5116,1,88.68,Qualified
18706,0.5106,1,88.63,Qualified
15593,0.5106,1,88.59,Qualified
7792,0.5105,0,88.54,Qualified
10579,0.5104,0,88.49,Qualified
32495,0.51,1,88.45,Qualified
6527,0.5097,0,88.4,Qualified
17426,0.5097,1,88.35,Qualified
3068,0.5095,1,88.3,Qualified
28132,0.509,1,88.26,Qualified
14438,0.5088,1,88.21,Qualified
20910,0.5088,1,88.16,Qualified
15660,0.5074,1,88.12,Qualified
6816,0.5067,0,88.07,Qualified
27002,0.5049,1,88.02,Qualified
9462,0.5049,0,87.98,Qualified
12459,0.5035,0,87.93,Qualified
15534,0.5034,0,87.88,Qualified
3722,0.5032,1,87.83,Qualified
17793,0.5028,0,87.79,Qualified
12406,0.5017,1,87.74,Qualified
19413,0.5012,1,87.69,Qualified
11413,0.5001,1,87.65,Qualified
9208,0.4992,0,87.6,Qualified
6768,0.4991,1,87.55,Qualified
20948,0.4971,0,87.51,Qualified
31852,0.4971,1,87.46,Qualified
14182,0.4968,1,87.41,Qualified
24230,0.4962,0,87.36,Qualified
12570,0.4954,1,87.32,Qualified
3697,0.4943,0,87.27,Qualified
10478,0.4936,0,87.22,Qualified
17254,0.4928,0,87.18,Qualified
30120,0.4919,1,87.13,Qualified
8375,0.4917,1,87.08,Qualified
2280,0.4912,0,87.04,Qualified
33148,0.4911,0,86.99,Qualified
27239,0.4905,1,86.94,Qualified
28936,0.4903,1,86.9,Qualified
28886,0.4903,0,86.85,Qualified
16168,0.4883,1,86.8,Qualified
2530,0.4864,1,86.75,Qualified
26805,0.4853,0,86.71,Qualified
17267,0.4843,1,86.66,Qualified
32636,0.4841,0,86.61,Qualified
32635,0.4838,1,86.57,Qualified
10847,0.483,1,86.52,Qualified
18356,0.4817,1,86.47,Qualified
4370,0.4814,1,86.43,Qualified
25977,0.4814,0,86.38,Qualified
22999,0.4801,1,86.33,Qualified
6615,0.4798,1,86.28,Qualified
28267,0.4794,1,86.24,Qualified
5898,0.4792,1,86.19,Qualified
13124,0.4784,1,86.14,Qualified
1680,0.4766,1,86.1,Qualified
17300,0.4764,1,86.05,Qualified
18581,0.4764,1,86.0,Qualified
30759,0.4751,1,85.96,Qualified
26446,0.4751,0,85.91,Qualified
28833,0.4737,1,85.86,Qualified
17450,0.4736,0,85.81,Qualified
22430,0.4734,0,85.77,Qualified
28121,0.4732,1,85.72,Qualified
7564,0.4726,1,85.67,Qualified
23880,0.4725,0,85.63,Qualified
15635,0.4721,1,85.58,Qualified
11849,0.4717,1,85.53,Qualified
2421,0.4713,0,85.49,Qualified
12558,0.4711,0,85.44,Qualified
18575,0.4709,1,85.39,Qualified
22407,0.4705,0,85.35,Qualified
18383,0.4702,1,85.3,Qualified
6721,0.47,0,85.25,Qualified
24026,0.4699,0,85.2,Qualified
26178,0.4696,0,85.16,Qualified
13832,0.4695,1,85.11,Qualified
9005,0.4671,1,85.06,Qualified
17950,0.4666,0,85.02,Qualified
17211,0.4665,1,84.97,Qualified
9055,0.4661,1,84.92,Qualified
8744,0.4643,1,84.88,Qualified
30316,0.4641,0,84.83,Qualified
4863,0.4631,1,84.78,Qualified
21514,0.4628,0,84.73,Qualified
21657,0.4623,1,84.69,Qualified
3672,0.4612,0,84.64,Qualified
21465,0.4609,0,84.59,Qualified
32727,0.4603,1,84.55,Qualified
5236,0.4602,0,84.5,Qualified
14329,0.4602,1,84.45,Qualified
8708,0.4602,1,84.41,Qualified
1319,0.4585,0,84.36,Qualified
24156,0.4573,0,84.31,Qualified
7789,0.456,0,84.26,Qualified
29710,0.4556,0,84.22,Qualified
20768,0.4549,0,84.17,Qualified
6433,0.4544,0,84.12,Qualified
20536,0.454,0,84.08,Qualified
7773,0.4534,0,84.03,Qualified
25101,0.4533,0,83.98,Qualified
32057,0.4502,0,83.94,Qualified
14883,0.4495,0,83.89,Qualified
7953,0.4476,0,83.84,Qualified
10928,0.4469,0,83.8,Qualified
5255,0.4464,0,83.75,Qualified
16079,0.4462,0,83.7,Qualified
4504,0.4462,0,83.65,Qualified
25140,0.4461,0,83.61,Qualified
32273,0.4459,0,83.56,Qualified
14568,0.4459,0,83.51,Qualified
24162,0.4453,0,83.47,Qualified
20635,0.4453,0,83.42,Qualified
13464,0.4452,0,83.37,Qualified
21462,0.4448,0,83.33,Qualified
12505,0.444,0,83.28,Qualified
12488,0.4426,0,83.23,Qualified
30957,0.4424,0,83.18,Qualified
25614,0.4418,0,83.14,Qualified
33343,0.4411,0,83.09,Qualified
29624,0.4406,0,83.04,Qualified
27952,0.4406,0,83.0,Qualified
2718,0.4399,0,82.95,Qualified
24978,0.4397,0,82.9,Qualified
29010,0.4395,0,82.86,Qualified
22464,0.4393,0,82.81,Qualified
32066,0.4391,0,82.76,Qualified
8905,0.4379,0,82.71,Qualified
6778,0.4375,0,82.67,Qualified
13605,0.437,0,82.62,Qualified
32403,0.437,0,82.57,Qualified
12462,0.4369,0,82.53,Qualified
19504,0.4362,0,82.48,Qualified
22057,0.4345,0,82.43,Qualified
20459,0.4333,0,82.39,Qualified
10279,0.4333,0,82.34,Qualified
14477,0.4331,0,82.29,Qualified
23255,0.4328,0,82.25,Qualified
24993,0.4326,0,82.2,Qualified
14342,0.4322,0,82.15,Qualified
31818,0.4321,0,82.1,Qualified
10655,0.432,0,82.06,Qualified
25585,0.4317,0,82.01,Qualified
12295,0.4313,0,81.96,Qualified
29832,0.4307,0,81.92,Qualified
30849,0.4304,0,81.87,Qualified
25129,0.4291,0,81.82,Qualified
28383,0.4289,0,81.78,Qualified
20333,0.4277,0,81.73,Qualified
20786,0.427,0,81.68,Qualified
15367,0.4267,0,81.63,Qualified
23628,0.4258,0,81.59,Qualified
6829,0.425,0,81.54,Qualified
5111,0.4245,0,81.49,Qualified
14069,0.4239,0,81.45,Qualified
26993,0.4238,0,81.4,Qualified
23338,0.4231,0,81.35,Qualified
30295,0.423,0,81.31,Qualified
1838,0.4228,0,81.26,Qualified
30867,0.4225,0,81.21,Qualified
31232,0.4221,0,81.16,Qualified
14240,0.421,0,81.12,Qualified
20308,0.421,0,81.07,Qualified
32808,0.4206,0,81.02,Qualified
11502,0.42,0,80.98,Qualified
11613,0.4199,0,80.93,Qualified
29018,0.4196,0,80.88,Qualified
20691,0.4188,0,80.84,Qualified
11458,0.4186,0,80.79,Qualified
14785,0.4183,0,80.74,Qualified
12453,0.4183,0,80.7,Qualified
28061,0.4178,0,80.65,Qualified
32516,0.417,0,80.6,Qualified
22775,0.4166,0,80.55,Qualified
4742,0.4166,0,80.51,Qualified
5720,0.4165,0,80.46,Qualified
17165,0.4163,0,80.41,Qualified
2752,0.4163,0,80.37,Qualified
28842,0.4161,0,80.32,Qualified
31951,0.4155,0,80.27,Qualified
2677,0.4154,0,80.23,Qualified
22700,0.4151,0,80.18,Qualified
7645,0.4149,0,80.13,Qualified
31451,0.4146,0,80.08,Qualified
5967,0.4145,0,80.04,Qualified
20612,0.4144,0,79.99,Qualified
22556,0.414,0,79.94,Qualified
7865,0.4139,0,79.9,Qualified
15380,0.4136,0,79.85,Qualified
9275,0.4135,0,79.8,Qualified
20419,0.4123,0,79.76,Qualified
29276,0.411,0,79.71,Qualified
31017,0.4101,0,79.66,Qualified
13462,0.4098,0,79.61,Qualified
20475,0.4093,0,79.57,Qualified
16184,0.409,0,79.52,Qualified
20361,0.4087,0,79.47,Qualified
1995,0.4083,0,79.43,Qualified
30367,0.4082,0,79.38,Qualified
19654,0.4079,0,79.33,Qualified
5058,0.4077,0,79.29,Qualified
10469,0.4068,0,79.24,Qualified
18100,0.4067,0,79.19,Qualified
30109,0.4064,0,79.15,Qualified
19403,0.4061,0,79.1,Qualified
6827,0.4054,0,79.05,Qualified
24585,0.4047,0,79.0,Qualified
14870,0.4038,0,78.96,Qualified
5962,0.4037,0,78.91,Qualified
11460,0.4033,0,78.86,Qualified
15589,0.4031,0,78.82,Qualified
5601,0.403,0,78.77,Qualified
7012,0.4019,0,78.72,Qualified
15359,0.4006,0,78.68,Qualified
17504,0.4005,0,78.63,Qualified
21613,0.4005,0,78.58,Qualified
24331,0.4001,0,78.53,Qualified
6515,0.4001,0,78.49,Qualified
8991,0.3999,0,78.44,Qualified
23403,0.3996,0,78.39,Qualified
14538,0.3994,0,78.35,Qualified
31236,0.3993,0,78.3,Qualified
24057,0.3993,0,78.25,Qualified
2915,0.3987,0,78.21,Qualified
4709,0.3982,0,78.16,Qualified
29242,0.3978,0,78.11,Qualified
25202,0.3974,0,78.06,Qualified
19473,0.3972,0,78.02,Qualified
9134,0.3965,0,77.97,Qualified
33308,0.3964,0,77.92,Qualified
3395,0.3959,0,77.88,Qualified
25699,0.3959,0,77.83,Qualified
19437,0.3957,0,77.78,Qualified
19648,0.3953,0,77.74,Qualified
31557,0.3951,0,77.69,Qualified
25051,0.3951,0,77.64,Qualified
13833,0.3947,0,77.6,Qualified
12308,0.3946,0,77.55,Qualified
19719,0.3942,0,77.5,Qualified
15009,0.394,0,77.45,Qualified
24155,0.3939,0,77.41,Qualified
23562,0.3937,0,77.36,Qualified
181,0.3936,0,77.31,Qualified
37,0.3932,0,77.27,Qualified
13314,0.3922,0,77.22,Qualified
24914,0.392,0,77.17,Qualified
2269,0.3919,0,77.13,Qualified
31079,0.3917,0,77.08,Qualified
11169,0.3913,0,77.03,Qualified
13006,0.3907,0,76.98,Qualified
17200,0.3904,0,76.94,Qualified
20872,0.3903,0,76.89,Qualified
15293,0.3903,0,76.84,Qualified
16931,0.3902,0,76.8,Qualified
17189,0.3892,0,76.75,Qualified
27991,0.3891,0,76.7,Qualified
6509,0.3889,0,76.66,Qualified
7689,0.3883,0,76.61,Qualified
8239,0.3879,0,76.56,Qualified
9556,0.3879,0,76.51,Qualified
17440,0.3877,0,76.47,Qualified
20456,0.3876,0,76.42,Qualified
5101,0.3867,0,76.37,Qualified
14586,0.3866,0,76.33,Qualified
22497,0.3866,0,76.28,Qualified
6209,0.3856,0,76.23,Qualified
32607,0.3853,0,76.19,Qualified
11682,0.3849,0,76.14,Qualified
23976,0.3843,0,76.09,Qualified
32646,0.3837,0,76.05,Qualified
13621,0.3837,0,76.0,Qualified
25136,0.3831,0,75.95,Qualified
7788,0.3827,0,75.9,Qualified
27458,0.3823,0,75.86,Qualified
621,0.3822,0,75.81,Qualified
20165,0.3812,0,75.76,Qualified
11201,0.3809,0,75.72,Qualified
23379,0.3809,0,75.67,Qualified
17188,0.3808,0,75.62,Qualified
32649,0.3808,0,75.58,Qualified
23739,0.3807,0,75.53,Qualified
12645,0.3807,0,75.48,Qualified
32105,0.3806,0,75.43,Qualified
12846,0.3796,0,75.39,Qualified
9195,0.3796,0,75.34,Qualified
19028,0.3794,0,75.29,Qualified
15061,0.3789,0,75.25,Qualified
30770,0.378,0,75.2,Qualified
9707,0.3779,0,75.15,Qualified
5485,0.3778,0,75.11,Qualified
5605,0.3778,0,75.06,Qualified
26927,0.3777,0,75.01,Qualified
32908,0.3774,0,74.96,Extended
30607,0.3774,0,74.92,Extended
21887,0.3773,0,74.87,Extended
19501,0.3769,0,74.82,Extended
21490,0.3763,0,74.78,Extended
8897,0.3759,0,74.73,Extended
8184,0.3757,0,74.68,Extended
13292,0.3752,0,74.64,Extended
10311,0.3752,0,74.59,Extended
33290,0.3751,0,74.54,Extended
4222,0.3748,0,74.5,Extended
8990,0.3744,0,74.45,Extended
9163,0.3744,0,74.4,Extended
2183,0.3735,0,74.35,Extended
16255,0.3735,0,74.31,Extended
30836,0.3733,0,74.26,Extended
27420,0.3721,0,74.21,Extended
16828,0.3719,0,74.17,Extended
16944,0.3708,0,74.12,Extended
15977,0.3705,0,74.07,Extended
22697,0.37,0,74.03,Extended
22835,0.3697,0,73.98,Extended
22708,0.3696,0,73.93,Extended
25714,0.3693,0,73.88,Extended
1361,0.3692,0,73.84,Extended
6642,0.3692,0,73.79,Extended
9562,0.369,0,73.74,Extended
26032,0.369,0,73.7,Extended
21381,0.3688,0,73.65,Extended
24261,0.3687,0,73.6,Extended
22786,0.3687,0,73.56,Extended
16355,0.3683,0,73.51,Extended
10455,0.368,0,73.46,Extended
18163,0.3674,0,73.41,Extended
10493,0.3668,0,73.37,Extended
656,0.3668,0,73.32,Extended
18463,0.3667,0,73.27,Extended
12055,0.3664,0,73.23,Extended
18529,0.3662,0,73.18,Extended
11734,0.3658,0,73.13,Extended
33291,0.3657,0,73.09,Extended
19468,0.3653,0,73.04,Extended
2094,0.3652,0,72.99,Extended
32409,0.3652,0,72.95,Extended
17549,0.3627,0,72.9,Extended
26581,0.3625,0,72.85,Extended
32629,0.3625,0,72.8,Extended
18260,0.3623,0,72.76,Extended
14669,0.3622,0,72.71,Extended
14053,0.3616,0,72.66,Extended
14585,0.3607,0,72.62,Extended
5040,0.3604,0,72.57,Extended
31272,0.3599,0,72.52,Extended
20348,0.3595,0,72.48,Extended
17307,0.3592,0,72.43,Extended
6017,0.3588,0,72.38,Extended
15385,0.3583,0,72.33,Extended
16212,0.3574,0,72.29,Extended
22462,0.3563,0,72.24,Extended
16595,0.3559,0,72.19,Extended
14873,0.3555,0,72.15,Extended
23670,0.3554,0,72.1,Extended
25160,0.3552,0,72.05,Extended
7314,0.3545,0,72.01,Extended
32910,0.3539,0,71.96,Extended
31230,0.3537,0,71.91,Extended
32229,0.3534,0,71.86,Extended
545,0.3522,0,71.82,Extended
6504,0.3517,0,71.77,Extended
18133,0.3514,0,71.72,Extended
22271,0.3503,0,71.68,Extended
16336,0.3502,0,71.63,Extended
19883,0.3498,0,71.58,Extended
8216,0.3498,0,71.54,Extended
31995,0.349,0,71.49,Extended
30621,0.3486,0,71.44,Extended
17389,0.3483,0,71.4,Extended
11148,0.3476,0,71.35,Extended
18013,0.3474,0,71.3,Extended
21071,0.3469,0,71.25,Extended
33064,0.3467,0,71.21,Extended
31234,0.3465,0,71.16,Extended
23735,0.3465,0,71.11,Extended
5882,0.3458,0,71.07,Extended
5479,0.3455,0,71.02,Extended
20431,0.3452,0,70.97,Extended
4386,0.3443,0,70.93,Extended
13543,0.3441,0,70.88,Extended
16490,0.3441,0,70.83,Extended
22591,0.3428,0,70.78,Extended
30470,0.3416,0,70.74,Extended
18719,0.3406,0,70.69,Extended
5412,0.3398,0,70.64,Extended
20205,0.3394,0,70.6,Extended
7863,0.339,0,70.55,Extended
29383,0.3386,0,70.5,Extended
25415,0.3385,0,70.46,Extended
19567,0.3383,0,70.41,Extended
2594,0.3363,0,70.36,Extended
25933,0.3358,0,70.31,Extended
5980,0.3349,0,70.27,Extended
32487,0.3349,0,70.22,Extended
2610,0.3345,0,70.17,Extended
28619,0.3345,0,70.13,Extended
21383,0.3343,0,70.08,Extended
11063,0.3339,0,70.03,Extended
2892,0.3335,0,69.99,Extended
13100,0.3335,0,69.94,Extended
5907,0.3335,0,69.89,Extended
1179,0.3334,0,69.84,Extended
24820,0.3329,0,69.8,Extended
2784,0.3327,0,69.75,Extended
12951,0.3326,0,69.7,Extended
19385,0.3326,0,69.66,Extended
23554,0.3324,0,69.61,Extended
217,0.3317,0,69.56,Extended
20622,0.3317,0,69.52,Extended
14249,0.3316,0,69.47,Extended
14070,0.3305,0,69.42,Extended
8513,0.3304,0,69.38,Extended
18166,0.3299,0,69.33,Extended
1476,0.3287,0,69.28,Extended
21283,0.3286,0,69.23,Extended
2170,0.3284,0,69.19,Extended
29304,0.3283,0,69.14,Extended
25726,0.3283,0,69.09,Extended
6969,0.3266,0,69.05,Extended
20767,0.3261,0,69.0,Extended
22477,0.326,0,68.95,Extended
17386,0.3256,0,68.91,Extended
17924,0.3252,0,68.86,Extended
27308,0.324,0,68.81,Extended
16922,0.3236,0,68.76,Extended
9501,0.3224,0,68.72,Extended
12994,0.3224,0,68.67,Extended
13009,0.3214,0,68.62,Extended
32540,0.3212,0,68.58,Extended
15483,0.3209,0,68.53,Extended
11404,0.3203,0,68.48,Extended
11444,0.3201,0,68.44,Extended
24022,0.3199,0,68.39,Extended
28381,0.3198,0,68.34,Extended
2889,0.3196,0,68.29,Extended
14159,0.3188,0,68.25,Extended
24800,0.3181,0,68.2,Extended
18847,0.3181,0,68.15,Extended
32783,0.3177,0,68.11,Extended
25586,0.316,0,68.06,Extended
4838,0.316,0,68.01,Extended
5823,0.3148,0,67.97,Extended
21423,0.3139,0,67.92,Extended
8038,0.3138,0,67.87,Extended
25679,0.3127,0,67.83,Extended
40,0.3116,0,67.78,Extended
17836,0.3115,0,67.73,Extended
16345,0.3113,0,67.68,Extended
394,0.3103,0,67.64,Extended
11963,0.3097,0,67.59,Extended
18338,0.3091,0,67.54,Extended
12029,0.3086,0,67.5,Extended
28552,0.3085,0,67.45,Extended
21023,0.3078,0,67.4,Extended
28035,0.3078,0,67.36,Extended
4957,0.3063,0,67.31,Extended
27245,0.3052,0,67.26,Extended
18267,0.305,0,67.21,Extended
5489,0.3049,0,67.17,Extended
31228,0.3046,0,67.12,Extended
26367,0.3043,0,67.07,Extended
18781,0.3043,0,67.03,Extended
19261,0.3036,0,66.98,Extended
27386,0.3033,0,66.93,Extended
7391,0.303,0,66.89,Extended
12919,0.3029,0,66.84,Extended
21728,0.3026,0,66.79,Extended
13230,0.3025,0,66.74,Extended
8141,0.3018,0,66.7,Extended
7759,0.3014,0,66.65,Extended
12472,0.3013,0,66.6,Extended
17129,0.3,0,66.56,Extended
20577,0.2994,0,66.51,Extended
13051,0.2988,0,66.46,Extended
1441,0.2983,0,66.42,Extended
21500,0.2982,0,66.37,Extended
10809,0.2974,0,66.32,Extended
11762,0.2963,0,66.28,Extended
10834,0.2958,0,66.23,Extended
12874,0.295,0,66.18,Extended
2900,0.2949,0,66.13,Extended
30670,0.2948,0,66.09,Extended
1670,0.2941,0,66.04,Extended
32404,0.2939,0,65.99,Extended
21032,0.2933,0,65.95,Extended
17993,0.2931,0,65.9,Extended
10198,0.2928,0,65.85,Extended
29886,0.2926,0,65.81,Extended
23734,0.2924,0,65.76,Extended
27376,0.2919,0,65.71,Extended
2046,0.2919,0,65.66,Extended
21788,0.2917,0,65.62,Extended
2894,0.2915,0,65.57,Extended
33033,0.2907,0,65.52,Extended
16540,0.2904,0,65.48,Extended
19987,0.2901,0,65.43,Extended
17952,0.2899,0,65.38,Extended
17502,0.2893,0,65.34,Extended
6602,0.2892,0,65.29,Extended
21296,0.2875,0,65.24,Extended
15849,0.2874,0,65.19,Extended
12500,0.2874,0,65.15,Extended
26950,0.2871,0,65.1,Extended
12735,0.2866,0,65.05,Extended
27337,0.2859,0,65.01,Extended
7212,0.2849,0,64.96,Extended
6689,0.2837,0,64.91,Extended
